A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W,Res,Stage,Interval
5.98,64.65,58.94,9.37,12.92,20.60,9.68,12.17,5.86,0.89,0.65,0.00,14.42,3.05,1.57,0.79,0.86,0.00,1023,Settling, 2
5.98,63.67,58.94,9.37,12.92,20.60,9.68,12.17,5.86,0.89,0.65,0.98,14.42,4.07,1.57,0.79,0.86,0.00,1000,Settling, 2
5.98,63.67,58.94,9.37,12.92,20.60,9.68,12.17,5.86,0.89,0.65,0.98,14.42,3.05,1.57,0.79,0.86,0.00,584,Settling, 2
5.98,64.65,58.94,9.37,12.92,20.60,9.68,12.17,5.86,0.89,0.65,0.00,14.42,2.03,1.57,0.79,0.86,0.00,778,Settling, 2
5.98,64.65,58.94,9.37,12.92,20.60,9.68,12.17,5.86,0.89,0.65,0.98,14.42,3.05,1.57,0.79,0.86,0.00,928,Settling, 2
5.98,63.67,58.94,9.37,12.92,20.60,9.68,12.17,5.86,0.89,0.65,0.98,14.42,4.07,1.57,0.79,0.86,0.00,866,Settling, 2
5.98,64.65,58.94,9.37,12.92,20.60,9.68,12.17,5.86,0.89,0.65,0.98,14.42,3.05,1.57,0.79,0.86,0.00,992,Settling, 2
5.98,64.65,58.94,9.37,12.92,20.60,9.68,12.17,5.86,0.89,0.65,0.00,14.42,3.05,1.57,0.79,0.86,0.00,1023,Settling, 2
5.98,64.65,58.94,9.37,12.92,20.60,9.68,12.17,5.86,0.89,0.65,0.98,14.42,3.05,1.57,0.79,0.86,0.00,881,Settling, 2
5.98,63.67,58.94,9.37,12.92,20.60,9.68,12.17,5.86,0.89,0.65,0.00,14.42,3.05,1.57,0.79,0.86,0.00,1023,Settling, 2
5.98,64.65,58.94,9.37,12.92,20.60,9.68,12.17,5.86,0.89,0.65,0.98,14.42,3.05,1.57,0.79,0.86,0.00,974,Settling, 2
5.98,64.65,58.94,9.37,12.92,20.60,9.68,12.17,5.86,0.89,0.65,0.98,14.42,3.05,1.57,0.79,0.86,0.00,1023,Settling, 2
5.98,63.67,58.94,9.37,12.92,20.60,9.68,12.17,5.86,0.89,0.65,0.00,14.42,3.05,1.57,0.79,0.86,0.00,852,Settling, 2
5.98,63.67,58.94,9.37,12.92,20.60,9.68,12.17,5.86,0.89,0.65,0.00,14.42,3.05,1.57,0.79,0.86,0.00,976,Settling, 2
5.98,63.67,58.94,9.37,12.92,20.60,9.68,12.17,5.86,0.89,0.65,0.98,14.42,4.07,1.57,0.79,0.86,0.00,815,Settling, 2
5.98,63.67,58.94,9.37,12.92,20.60,9.68,12.17,5.86,0.89,0.65,0.98,14.42,3.05,1.57,0.79,0.86,0.00,1023,Settling, 2
